EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,JOB_ID,SALARY,DEPARTMENT_ID
198,Donald,OConnell,DOCONNEL,650.507.9833,SH_CLERK,2600,50
199,Douglas,Grant,DGRANT,650.507.9844,SH_CLERK,2600,50
200,Jennifer,Whalen,JWHALEN,515.123.4444,AD_ASST,4400,10
201,Michael,Hartstein,MHARTSTE,515.123.5555,MK_MAN,13000,20
202,Pat,Fay,PFAY,603.123.6666,MK_REP,6000,20
203,Susan,Mavris,SMAVRIS,515.123.7777,HR_REP,6500,40
204,Hermann,Baer,HBAER,515.123.8888,PR_REP,10000,70
205,Shelley,Higgins,SHIGGINS,515.123.8080,AC_MGR,12008,110
206,William,Gietz,WGIETZ,515.123.8181,AC_ACCOUNT,8300,110
100,Steven,King,SKING,515.123.4567,AD_PRES,24000,90
101,Neena,Kochhar,NKOCHHAR,515.123.4568,AD_VP,17000,90
102,Lex,De Haan,LDEHAAN,515.123.4569,AD_VP,17000,90
103,Alexander,Hunold,AHUNOLD,590.423.4567,IT_PROG,9000,60
104,Bruce,Ernst,BERNST,590.423.4568,IT_PROG,6000,60
105,David,Austin,DAUSTIN,590.423.4569,IT_PROG,4800,60
106,Valli,Pataballa,VPATABAL,590.423.4560,IT_PROG,4800,60
107,Diana,Lorentz,DLORENTZ,590.423.5567,IT_PROG,4200,60
108,Nancy,Greenberg,NGREENBE,515.124.4569,FI_MGR,12008,100
109,Daniel,Faviet,DFAVIET,515.124.4169,FI_ACCOUNT,9000,100
110,John,Chen,JCHEN,515.124.4269,FI_ACCOUNT,8200,100
111,Ismael,Sciarra,ISCIARRA,515.124.4369,FI_ACCOUNT,7700,100
112,Jose Manuel,Urman,JMURMAN,515.124.4469,FI_ACCOUNT,7800,100
113,Luis,Popp,LPOPP,515.124.4567,FI_ACCOUNT,6900,100
114,Den,Raphaely,DRAPHEAL,515.127.4561,PU_MAN,11000,30
115,Alexander,Khoo,AKHOO,515.127.4562,PU_CLERK,3100,30
116,Shelli,Baida,SBAIDA,515.127.4563,PU_CLERK,2900,30
117,Sigal,Tobias,STOBIAS,515.127.4564,PU_CLERK,2800,30
118,Guy,Himuro,GHIMURO,515.127.4565,PU_CLERK,2600,30
119,Karen,Colmenares,KCOLMENA,515.127.4566,PU_CLERK,2500,30
120,Matthew,Weiss,MWEISS,650.123.1234,ST_MAN,8000,50
121,Adam,Fripp,AFRIPP,650.123.2234,ST_MAN,8200,50
122,Payam,Kaufling,PKAUFLIN,650.123.3234,ST_MAN,7900,50
123,Shanta,Vollman,SVOLLMAN,650.123.4234,ST_MAN,6500,50
124,Kevin,Mourgos,KMOURGOS,650.123.5234,ST_MAN,5800,50
125,Julia,Nayer,JNAYER,650.124.1214,ST_CLERK,3200,50
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,ST_CLERK,2700,50
127,James,Landry,JLANDRY,650.124.1334,ST_CLERK,2400,50
128,Steven,Markle,SMARKLE,650.124.1434,ST_CLERK,2200,50
129,Laura,Bissot,LBISSOT,650.124.5234,ST_CLERK,3300,50
130,Mozhe,Atkinson,MATKINSO,650.124.6234,ST_CLERK,2800,50
131,James,Marlow,JAMRLOW,650.124.7234,ST_CLERK,2500,50
132,TJ,Olson,TJOLSON,650.124.8234,ST_CLERK,2100,50
133,Jason,Mallin,JMALLIN,650.127.1934,ST_CLERK,3300,50
134,Michael,Rogers,MROGERS,650.127.1834,ST_CLERK,2900,50
135,Ki,Gee,KGEE,650.127.1734,ST_CLERK,2400,50
136,Hazel,Philtanker,HPHILTAN,650.127.1634,ST_CLERK,2200,50
137,Renske,Ladwig,RLADWIG,650.121.1234,ST_CLERK,3600,50
138,Stephen,Stiles,SSTILES,650.121.2034,ST_CLERK,3200,50
139,John,Seo,JSEO,650.121.2019,ST_CLERK,2700,50
140,Joshua,Patel,JPATEL,650.121.1834,ST_CLERK,2500,50
